Tanggal Keluar,Desa,Lokasi,Pala,Duku,Durian,kemiri,Cempaka,Coklat,Nantu,Alpukat,Kopi,Matoa,Total,Keperluan
2025-08-05,Mataindo Utara,,5,3,3,0,4,0,0,0,0,0,15,Agroforestry
2025-09-07,Mataindo Utara,,20,10,0,0,0,0,0,0,0,0,30,Agroforestry
2025-09-10,Mataindo Utara,Gontung dalam,20,0,0,8,0,0,0,0,0,0,28,Agroforestry
2025-09-12,Mataindo Utara,,15,0,0,10,0,0,0,0,0,0,25,Agroforestry
2025-09-14,Mataindo,Mopopungu,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-15,Mataindo Utara,Sinobi,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-17,Mataindo,Mopopungu,20,0,0,0,5,0,0,0,0,0,25,Agroforestry
2025-09-17,Mataindo,Mopopungu,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-18,Mataindo,Sinobi,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-18,Mataindo,Mopopungu,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-18,Mataindo,Mopopungu,15,0,0,0,0,0,0,0,0,0,15,Agroforestry
2025-09-20,Mataindo Utara,Mopopungu,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-20,Mataindo,,20,0,10,0,0,0,0,0,0,0,30,Agroforestry
2025-09-20,Mataindo Utara,Bandungan,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-21,Mataindo Utara,Pitang,24,0,0,0,0,0,0,0,0,0,24,Agroforestry
2025-09-22,Mataindo,Mopopungu,40,20,0,0,0,0,0,0,0,0,60,Agroforestry
2025-09-23,Mataindo Utara,Pitang,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-24,Mataindo Utara,Pitang,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-26,Mataindo Utara,Gontung,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-09-27,Mataindo Utara,Pinomangkulan,32,0,0,0,0,0,0,0,0,0,32,Agroforestry
2025-09-28,Mataindo Utara,Gontung,10,0,0,0,0,0,0,0,0,0,10,Agroforestry
2025-09-28,Mataindo,Mopopungu,0,10,0,0,0,0,0,0,0,0,10,Agroforestry
2025-09-28,Mataindo,Mopopungu,0,0,0,0,0,25,0,0,0,0,25,Agroforestry
2025-09-29,Mataindo Utara,Idumondo,40,0,0,0,0,0,0,0,0,0,40,Agroforestry
2025-09-29,Mataindo,,20,5,5,0,0,0,0,0,0,0,30,Agroforestry
2025-10-01,Mataindo Utara,Gontung,0,10,0,0,0,0,0,0,0,0,10,Agroforestry
2025-10-02,Mataindo Utara,Pinomangkulan,0,0,0,0,0,40,0,0,0,0,40,Agroforestry
2025-10-03,Mataindo Utara,Gontung,0,0,0,0,5,25,0,0,0,0,30,Agroforestry
2025-10-04,Mataindo Utara,,0,10,0,0,0,0,0,0,0,0,10,Agroforestry
2025-10-04,Mataindo Utara,Gontung,0,0,0,0,0,10,0,0,0,0,10,Agroforestry
2025-10-05,Mataindo,,0,0,0,0,0,50,0,0,0,0,50,Agroforestry
2025-10-06,Mataindo Utara,,0,0,1,0,0,15,0,0,0,0,16,Agroforestry
2025-10-06,Mataindo Utara,Gontung,0,0,1,0,0,30,0,0,0,0,31,Agroforestry
2025-10-07,Mataindo Utara,Tapa insil,0,0,0,0,0,15,0,0,0,0,15,Agroforestry
2025-10-07,Mataindo,,0,0,0,0,0,50,0,0,0,0,50,Agroforestry
2025-10-08,Mataindo Utara,Idumondo,0,25,0,0,0,15,0,0,0,0,40,Agroforestry
2025-10-09,Mataindo,Idumondo,0,0,11,0,10,0,12,0,0,0,33,Agroforestry
2025-10-09,Mataindo Utara,Idumondo,0,0,0,0,0,18,0,0,0,0,18,Agroforestry
2025-10-09,Mataindo Utara,,0,0,0,0,0,15,0,0,0,0,15,Agroforestry
2025-10-09,Mataindo Utara,GontungDalam,10,0,0,10,0,0,0,0,0,0,20,Agroforestry
2025-10-09,Mataindo,Bonotur,0,5,0,0,0,20,0,0,0,0,25,Agroforestry
2025-10-10,Mataindo Utara,Adow,5,0,5,0,0,25,0,0,0,0,35,Agroforestry
2025-10-10,Adow,Bubungayon,0,0,0,0,0,0,0,0,0,0,0,Agroforestry
2025-10-11,Mataindo,Kokupa,20,0,0,0,0,0,0,0,0,0,20,Agroforestry
2025-10-11,Mataindo Utara,pelangi,0,0,0,0,0,15,0,0,0,0,15,Agroforestry
2025-10-11,Mataindo Utara,Mopopungu,0,0,1,0,0,20,0,0,0,0,21,Agroforestry
2025-10-12,Mataindo,Mopopungu,0,0,0,0,0,0,0,20,0,0,20,Agroforestry
2025-10-12,Mataindo Utara,pelangi,0,0,0,0,0,5,0,45,0,0,50,Agroforestry
2025-10-12,Mataindo Utara,Tapa insil,0,0,0,0,0,10,0,0,0,0,10,Agroforestry
2025-10-12,Mataindo,Mopopungu,30,5,0,0,0,0,0,0,0,0,35,Agroforestry
2025-10-13,Mataindo Utara,Bonotur,0,5,5,0,0,35,0,0,0,0,45,Agroforestry
2025-10-13,Mataindo,pelangi,0,0,0,0,0,20,0,0,0,0,20,Agroforestry
2025-10-13,Mataindo,Mopopungu,30,0,0,0,0,0,0,0,0,0,30,Agroforestry
2025-10-13,Mataindo Utara,Paku,0,0,0,0,0,10,0,0,0,0,10,Agroforestry
2025-10-14,Mataindo Utara,Tapa insil,0,0,0,0,0,35,0,0,0,0,35,Agroforestry
2025-10-14,Mataindo Utara,Kokupa,0,0,0,0,0,10,0,0,0,0,10,Agroforestry
2025-10-14,Mataindo Utara,Dumondo dan pitang,0,0,0,0,0,50,0,0,0,0,50,Agroforestry
2025-10-15,Mataindo Utara,Pitang,0,0,0,0,0,0,0,20,0,0,20,Agroforestry
2025-10-15,Mataindo Utara,Dumondo,0,0,0,0,0,16,0,0,0,0,16,Agroforestry
2025-10-15,Mataindo Utara,Kokupa,0,0,0,0,0,25,0,0,0,0,25,Agroforestry
2025-10-16,Mataindo Utara,Pitang,0,4,0,0,0,34,0,0,0,0,38,Agroforestry
2025-10-16,Mataindo Utara,pelangi,0,0,0,25,0,0,25,0,0,0,50,Agroforestry
